14.7162 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
32.4680 	EXP 	page: autoDraw = True
32.5006 	EXP 	page: autoDraw = True
32.5289 	EXP 	page: autoDraw = True
32.5557 	EXP 	page: autoDraw = True
32.5843 	EXP 	page: autoDraw = True
32.6237 	EXP 	page: autoDraw = True
32.6503 	EXP 	page: autoDraw = True
32.6773 	EXP 	page: autoDraw = True
32.7039 	EXP 	page: autoDraw = True
32.7369 	EXP 	page: autoDraw = True
32.7666 	EXP 	page: autoDraw = True
32.7949 	EXP 	page: autoDraw = True
32.8225 	EXP 	page: autoDraw = True
32.8522 	EXP 	page: autoDraw = True
32.8823 	EXP 	page: autoDraw = True
32.9110 	EXP 	page: autoDraw = True
32.9383 	EXP 	page: autoDraw = True
32.9699 	EXP 	page: autoDraw = True
33.0027 	EXP 	page: autoDraw = True
33.0302 	EXP 	page: autoDraw = True
33.0555 	EXP 	page: autoDraw = True
33.0842 	EXP 	page: autoDraw = True
33.1220 	EXP 	page: autoDraw = True
33.1494 	EXP 	page: autoDraw = True
33.1795 	EXP 	page: autoDraw = True
33.2092 	EXP 	page: autoDraw = True
33.2349 	EXP 	page: autoDraw = True
33.2627 	EXP 	page: autoDraw = True
33.2883 	EXP 	page: autoDraw = True
33.3191 	EXP 	page: autoDraw = True
33.3498 	EXP 	page: autoDraw = True
33.3739 	EXP 	page: autoDraw = True
33.4041 	EXP 	page: autoDraw = True
33.4300 	EXP 	page: autoDraw = True
33.4551 	EXP 	page: autoDraw = True
33.4860 	EXP 	page: autoDraw = True
33.5149 	EXP 	page: autoDraw = True
33.5418 	EXP 	page: autoDraw = True
33.5800 	EXP 	page: autoDraw = True
33.6074 	EXP 	page: autoDraw = True
33.6353 	EXP 	page: autoDraw = True
33.6693 	EXP 	page: autoDraw = True
33.7008 	EXP 	page: autoDraw = True
33.7328 	EXP 	page: autoDraw = True
33.7651 	EXP 	page: autoDraw = True
33.7932 	EXP 	page: autoDraw = True
33.8197 	EXP 	page: autoDraw = True
33.8534 	EXP 	page: autoDraw = True
33.8789 	EXP 	page: autoDraw = True
33.9101 	EXP 	page: autoDraw = True
33.9424 	EXP 	page: autoDraw = True
33.9741 	EXP 	page: autoDraw = True
34.0054 	EXP 	page: autoDraw = True
34.0367 	EXP 	page: autoDraw = True
34.0678 	EXP 	page: autoDraw = True
34.0999 	EXP 	page: autoDraw = True
34.1320 	EXP 	page: autoDraw = True
34.1572 	EXP 	page: autoDraw = True
34.1861 	EXP 	page: autoDraw = True
34.2258 	EXP 	page: autoDraw = True
34.2662 	EXP 	page: autoDraw = True
34.2936 	EXP 	page: autoDraw = True
34.3299 	EXP 	page: autoDraw = True
34.3575 	EXP 	page: autoDraw = True
34.3884 	EXP 	page: autoDraw = True
34.4134 	EXP 	page: autoDraw = True
34.4480 	EXP 	page: autoDraw = True
34.4748 	EXP 	page: autoDraw = True
34.5028 	EXP 	page: autoDraw = True
34.5348 	EXP 	page: autoDraw = True
34.5656 	EXP 	page: autoDraw = True
34.5985 	EXP 	page: autoDraw = True
34.6273 	EXP 	page: autoDraw = True
34.6534 	EXP 	page: autoDraw = True
34.6864 	EXP 	page: autoDraw = True
34.7236 	EXP 	page: autoDraw = True
34.7663 	EXP 	page: autoDraw = True
34.7937 	EXP 	page: autoDraw = True
34.8185 	EXP 	page: autoDraw = True
34.8490 	EXP 	page: autoDraw = True
34.8780 	EXP 	page: autoDraw = True
34.9048 	EXP 	page: autoDraw = True
34.9399 	EXP 	page: autoDraw = True
34.9668 	EXP 	page: autoDraw = True
34.9931 	EXP 	page: autoDraw = True
35.0201 	EXP 	page: autoDraw = True
35.0511 	EXP 	page: autoDraw = True
35.0827 	EXP 	page: autoDraw = True
35.1135 	EXP 	page: autoDraw = True
35.1443 	EXP 	page: autoDraw = True
35.1681 	EXP 	page: autoDraw = True
35.2010 	EXP 	page: autoDraw = True
35.2336 	EXP 	page: autoDraw = True
35.2612 	EXP 	page: autoDraw = True
35.2881 	EXP 	page: autoDraw = True
35.3182 	EXP 	page: autoDraw = True
35.3478 	EXP 	page: autoDraw = True
35.3727 	EXP 	page: autoDraw = True
35.3981 	EXP 	page: autoDraw = True
35.4285 	EXP 	page: autoDraw = True
35.4578 	EXP 	page: autoDraw = True
35.4843 	EXP 	page: autoDraw = True
35.5189 	EXP 	page: autoDraw = True
35.5457 	EXP 	page: autoDraw = True
35.5753 	EXP 	page: autoDraw = True
35.6049 	EXP 	page: autoDraw = True
35.6343 	EXP 	page: autoDraw = True
35.6620 	EXP 	page: autoDraw = True
35.6911 	EXP 	page: autoDraw = True
35.7169 	EXP 	page: autoDraw = True
35.7476 	EXP 	page: autoDraw = True
35.7763 	EXP 	page: autoDraw = True
35.8022 	EXP 	page: autoDraw = True
35.8357 	EXP 	page: autoDraw = True
35.8672 	EXP 	page: autoDraw = True
35.8921 	EXP 	page: autoDraw = True
35.9207 	EXP 	page: autoDraw = True
35.9557 	EXP 	page: autoDraw = True
35.9815 	EXP 	page: autoDraw = True
36.0099 	EXP 	page: autoDraw = True
36.0378 	EXP 	page: autoDraw = True
36.0684 	EXP 	page: autoDraw = True
36.0977 	EXP 	page: autoDraw = True
36.1290 	EXP 	page: autoDraw = True
36.1550 	EXP 	page: autoDraw = True
36.1816 	EXP 	page: autoDraw = True
36.2125 	EXP 	page: autoDraw = True
36.2348 	EXP 	page: autoDraw = True
36.2675 	EXP 	page: autoDraw = True
36.2979 	EXP 	page: autoDraw = True
36.3286 	EXP 	page: autoDraw = True
36.3543 	EXP 	page: autoDraw = True
36.3861 	EXP 	page: autoDraw = True
36.4221 	EXP 	page: autoDraw = True
36.4515 	EXP 	page: autoDraw = True
36.4799 	EXP 	page: autoDraw = True
36.5050 	EXP 	page: autoDraw = True
36.5323 	EXP 	page: autoDraw = True
36.5587 	EXP 	page: autoDraw = True
36.5861 	EXP 	page: autoDraw = True
36.6243 	EXP 	page: autoDraw = True
36.6521 	EXP 	page: autoDraw = True
36.6806 	EXP 	page: autoDraw = True
36.7138 	EXP 	page: autoDraw = True
36.7368 	EXP 	page: autoDraw = True
36.7665 	EXP 	page: autoDraw = True
36.8039 	EXP 	page: autoDraw = True
36.8299 	EXP 	page: autoDraw = True
36.8591 	EXP 	page: autoDraw = True
36.8879 	EXP 	page: autoDraw = True
36.9184 	EXP 	page: autoDraw = True
36.9488 	EXP 	page: autoDraw = True
36.9828 	EXP 	page: autoDraw = True
37.0075 	EXP 	page: autoDraw = True
37.0358 	EXP 	page: autoDraw = True
37.0697 	EXP 	page: autoDraw = True
37.1057 	EXP 	page: autoDraw = True
37.1321 	EXP 	page: autoDraw = True
37.1652 	EXP 	page: autoDraw = True
37.1972 	EXP 	page: autoDraw = True
37.2344 	EXP 	page: autoDraw = True
37.2719 	EXP 	page: autoDraw = True
37.3064 	EXP 	page: autoDraw = True
37.3358 	EXP 	page: autoDraw = True
37.3697 	EXP 	page: autoDraw = True
37.4041 	EXP 	page: autoDraw = True
37.4407 	EXP 	page: autoDraw = True
37.4730 	EXP 	page: autoDraw = True
37.5142 	EXP 	page: autoDraw = True
37.5516 	EXP 	page: autoDraw = True
37.5847 	EXP 	page: autoDraw = True
37.6151 	EXP 	page: autoDraw = True
37.6393 	EXP 	page: autoDraw = True
37.6732 	EXP 	page: autoDraw = True
37.7008 	EXP 	page: autoDraw = True
37.7382 	EXP 	page: autoDraw = True
37.7643 	EXP 	page: autoDraw = True
37.7901 	EXP 	page: autoDraw = True
37.8200 	EXP 	page: autoDraw = True
37.8520 	EXP 	page: autoDraw = True
37.8816 	EXP 	page: autoDraw = True
37.9100 	EXP 	page: autoDraw = True
37.9353 	EXP 	page: autoDraw = True
37.9687 	EXP 	page: autoDraw = True
37.9976 	EXP 	page: autoDraw = True
38.0280 	EXP 	page: autoDraw = True
38.0543 	EXP 	page: autoDraw = True
38.0914 	EXP 	page: autoDraw = True
38.1184 	EXP 	page: autoDraw = True
38.1499 	EXP 	page: autoDraw = True
38.1516 	DATA 	Mouse: Left button down, pos=(493,198)
38.1838 	EXP 	page: autoDraw = True
38.2074 	EXP 	page: autoDraw = True
38.2384 	EXP 	page: autoDraw = True
38.2757 	EXP 	page: autoDraw = True
38.3006 	EXP 	page: autoDraw = True
38.3299 	EXP 	page: autoDraw = True
38.3634 	EXP 	page: autoDraw = True
38.3825 	DATA 	Mouse:  Left button up, pos=(493,198)
38.3966 	EXP 	page: autoDraw = True
38.4260 	EXP 	page: autoDraw = True
38.4520 	EXP 	page: autoDraw = True
38.4833 	EXP 	page: autoDraw = True
38.5158 	EXP 	page: autoDraw = True
38.5412 	EXP 	page: autoDraw = True
38.5781 	EXP 	page: autoDraw = True
38.6083 	EXP 	page: autoDraw = True
38.6342 	EXP 	page: autoDraw = True
38.6678 	EXP 	page: autoDraw = True
38.6995 	EXP 	page: autoDraw = True
38.7292 	EXP 	page: autoDraw = True
38.7546 	EXP 	page: autoDraw = True
38.7846 	EXP 	page: autoDraw = True
38.8131 	EXP 	page: autoDraw = True
38.8370 	EXP 	page: autoDraw = True
38.8741 	EXP 	page: autoDraw = True
38.8992 	EXP 	page: autoDraw = True
38.9250 	EXP 	page: autoDraw = True
38.9501 	EXP 	page: autoDraw = True
38.9852 	EXP 	page: autoDraw = True
39.0131 	EXP 	page: autoDraw = True
39.0466 	EXP 	page: autoDraw = True
39.0723 	EXP 	page: autoDraw = True
39.1027 	EXP 	page: autoDraw = True
39.1279 	EXP 	page: autoDraw = True
39.1553 	EXP 	page: autoDraw = True
39.1847 	EXP 	page: autoDraw = True
39.2190 	EXP 	page: autoDraw = True
39.2471 	EXP 	page: autoDraw = True
39.2746 	EXP 	page: autoDraw = True
39.3024 	EXP 	page: autoDraw = True
39.3293 	EXP 	page: autoDraw = True
39.3570 	EXP 	page: autoDraw = True
39.3849 	EXP 	page: autoDraw = True
39.4107 	EXP 	page: autoDraw = True
39.4371 	EXP 	page: autoDraw = True
39.4694 	EXP 	page: autoDraw = True
39.5032 	EXP 	page: autoDraw = True
39.5328 	EXP 	page: autoDraw = True
39.5596 	EXP 	page: autoDraw = True
39.5851 	EXP 	page: autoDraw = True
39.6164 	EXP 	page: autoDraw = True
39.6546 	EXP 	page: autoDraw = True
39.6764 	EXP 	page: autoDraw = True
39.7026 	EXP 	page: autoDraw = True
39.7357 	EXP 	page: autoDraw = True
39.7677 	EXP 	page: autoDraw = True
39.7927 	EXP 	page: autoDraw = True
39.8332 	EXP 	page: autoDraw = True
39.8606 	EXP 	page: autoDraw = True
39.8870 	EXP 	page: autoDraw = True
39.9147 	EXP 	page: autoDraw = True
39.9536 	EXP 	page: autoDraw = True
39.9767 	EXP 	page: autoDraw = True
40.0132 	EXP 	page: autoDraw = True
40.0422 	EXP 	page: autoDraw = True
40.0707 	EXP 	page: autoDraw = True
40.1052 	EXP 	page: autoDraw = True
40.1347 	EXP 	page: autoDraw = True
40.1606 	EXP 	page: autoDraw = True
40.1868 	EXP 	page: autoDraw = True
40.2125 	EXP 	page: autoDraw = True
40.2377 	EXP 	page: autoDraw = True
40.2688 	EXP 	page: autoDraw = True
40.3030 	EXP 	page: autoDraw = True
40.3356 	EXP 	page: autoDraw = True
40.3687 	EXP 	page: autoDraw = True
40.3970 	EXP 	page: autoDraw = True
40.4264 	EXP 	page: autoDraw = True
40.4595 	EXP 	page: autoDraw = True
40.4919 	EXP 	page: autoDraw = True
40.5228 	EXP 	page: autoDraw = True
40.5584 	EXP 	page: autoDraw = True
40.5919 	EXP 	page: autoDraw = True
40.6199 	EXP 	page: autoDraw = True
40.6527 	EXP 	page: autoDraw = True
40.6844 	EXP 	page: autoDraw = True
40.7178 	EXP 	page: autoDraw = True
40.7672 	EXP 	page: autoDraw = True
40.8091 	EXP 	page: autoDraw = True
40.8579 	EXP 	page: autoDraw = True
40.8834 	EXP 	page: autoDraw = True
40.9164 	EXP 	page: autoDraw = True
40.9466 	EXP 	page: autoDraw = True
40.9823 	EXP 	page: autoDraw = True
41.0128 	EXP 	page: autoDraw = True
41.0460 	EXP 	page: autoDraw = True
41.0742 	EXP 	page: autoDraw = True
41.1010 	EXP 	page: autoDraw = True
41.1288 	EXP 	page: autoDraw = True
41.1558 	EXP 	page: autoDraw = True
41.1838 	EXP 	page: autoDraw = True
41.2056 	EXP 	page: autoDraw = True
41.2351 	EXP 	page: autoDraw = True
41.2684 	EXP 	page: autoDraw = True
41.2941 	EXP 	page: autoDraw = True
41.3217 	EXP 	page: autoDraw = True
41.3513 	EXP 	page: autoDraw = True
41.3831 	EXP 	page: autoDraw = True
41.4127 	EXP 	page: autoDraw = True
41.4420 	EXP 	page: autoDraw = True
41.4721 	EXP 	page: autoDraw = True
41.5058 	EXP 	page: autoDraw = True
41.5424 	EXP 	page: autoDraw = True
41.5761 	EXP 	page: autoDraw = True
41.6052 	EXP 	page: autoDraw = True
41.6487 	EXP 	page: autoDraw = True
41.6733 	EXP 	page: autoDraw = True
41.7028 	EXP 	page: autoDraw = True
41.7279 	EXP 	page: autoDraw = True
41.7541 	EXP 	page: autoDraw = True
41.7858 	EXP 	page: autoDraw = True
41.8170 	EXP 	page: autoDraw = True
41.8484 	EXP 	page: autoDraw = True
41.8801 	EXP 	page: autoDraw = True
41.9126 	EXP 	page: autoDraw = True
41.9444 	EXP 	page: autoDraw = True
41.9814 	EXP 	page: autoDraw = True
42.0153 	EXP 	page: autoDraw = True
42.0487 	EXP 	page: autoDraw = True
42.0794 	EXP 	page: autoDraw = True
42.1114 	EXP 	page: autoDraw = True
42.1390 	EXP 	page: autoDraw = True
42.1718 	EXP 	page: autoDraw = True
42.2004 	EXP 	page: autoDraw = True
42.2348 	EXP 	page: autoDraw = True
42.2740 	EXP 	page: autoDraw = True
42.3042 	EXP 	page: autoDraw = True
42.3357 	EXP 	page: autoDraw = True
42.3693 	EXP 	page: autoDraw = True
42.4029 	EXP 	page: autoDraw = True
42.4483 	EXP 	page: autoDraw = True
42.4861 	EXP 	page: autoDraw = True
42.5132 	EXP 	page: autoDraw = True
42.5470 	EXP 	page: autoDraw = True
42.5776 	EXP 	page: autoDraw = True
42.6093 	EXP 	page: autoDraw = True
42.6346 	EXP 	page: autoDraw = True
42.6678 	EXP 	page: autoDraw = True
42.7024 	EXP 	page: autoDraw = True
42.7418 	EXP 	page: autoDraw = True
42.7712 	EXP 	page: autoDraw = True
42.8037 	EXP 	page: autoDraw = True
42.8291 	EXP 	page: autoDraw = True
42.8537 	EXP 	page: autoDraw = True
42.8813 	EXP 	page: autoDraw = True
42.9179 	EXP 	page: autoDraw = True
42.9465 	EXP 	page: autoDraw = True
42.9718 	EXP 	page: autoDraw = True
43.0032 	EXP 	page: autoDraw = True
43.0064 	DATA 	Mouse: Left button down, pos=(929,679)
43.0458 	EXP 	page: autoDraw = True
43.0770 	EXP 	page: autoDraw = True
43.0925 	DATA 	Mouse:  Left button up, pos=(929,679)
43.1026 	EXP 	page: autoDraw = True
43.1331 	EXP 	page: autoDraw = True
43.1608 	EXP 	page: autoDraw = True
43.1879 	EXP 	page: autoDraw = True
43.2265 	EXP 	page: autoDraw = True
43.2514 	EXP 	page: autoDraw = True
43.2747 	EXP 	page: autoDraw = True
43.3169 	EXP 	page: autoDraw = True
43.3438 	EXP 	page: autoDraw = True
43.3681 	EXP 	page: autoDraw = True
43.4052 	EXP 	page: autoDraw = True
43.4270 	EXP 	page: autoDraw = True
43.4537 	EXP 	page: autoDraw = True
43.4848 	EXP 	page: autoDraw = True
43.5145 	EXP 	page: autoDraw = True
43.5408 	EXP 	page: autoDraw = True
43.5830 	EXP 	page: autoDraw = True
43.6147 	EXP 	page: autoDraw = True
43.6470 	EXP 	page: autoDraw = True
43.6812 	EXP 	page: autoDraw = True
43.7137 	EXP 	page: autoDraw = True
43.7533 	EXP 	page: autoDraw = True
43.7821 	EXP 	page: autoDraw = True
43.8140 	EXP 	page: autoDraw = True
43.8414 	EXP 	page: autoDraw = True
43.8715 	EXP 	page: autoDraw = True
43.9050 	EXP 	page: autoDraw = True
43.9356 	EXP 	page: autoDraw = True
43.9604 	EXP 	page: autoDraw = True
43.9865 	EXP 	page: autoDraw = True
44.0137 	EXP 	page: autoDraw = True
44.0397 	EXP 	page: autoDraw = True
44.0751 	EXP 	page: autoDraw = True
44.1024 	EXP 	page: autoDraw = True
44.1269 	EXP 	page: autoDraw = True
44.1611 	EXP 	page: autoDraw = True
44.1914 	EXP 	page: autoDraw = True
44.2252 	EXP 	page: autoDraw = True
44.2653 	EXP 	page: autoDraw = True
44.2972 	EXP 	page: autoDraw = True
44.3381 	EXP 	page: autoDraw = True
44.3655 	EXP 	page: autoDraw = True
44.3884 	EXP 	page: autoDraw = True
44.4208 	EXP 	page: autoDraw = True
44.4546 	EXP 	page: autoDraw = True
44.4826 	EXP 	page: autoDraw = True
